frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,0,0,0.98,1,0,0,0,0,1.29,2.04,0.17,0.83,1.84,1.26,0,0.07,0.52,0,0.84,0.36,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
2,0,0.04,0.98,1,0,0,0,0,1.39,1.54,0.28,0.7,1.89,1.36,0.09,0.03,0.48,0,1.06,0.18,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
3,0,0.08,0.98,1,0,0,0,0,1.46,1.28,0.26,0.65,1.94,1.41,0.19,0.11,0.59,0,1.17,0.07,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
4,0,0.12,0.98,1,0,0,0,0,1.46,1.14,0.2,0.71,1.95,1.34,0.33,0.28,0.66,0,1.28,0.04,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
5,0,0.16,0.98,1,0,0,0,0,1.43,1.34,0.09,0.75,1.93,1.32,0.46,0.53,0.61,0,1.31,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
6,0,0.2,0.98,1,0,0,0,0,1.37,1.4,0.09,0.69,1.81,1.13,0.36,0.59,0.52,0,1.25,0.01,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
7,0,0.24,0.98,1,0,0,0,0,1.25,1.52,0.18,0.51,1.63,1.08,0.2,0.59,0.31,0,0.93,0.14,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
8,0,0.28,0.98,1,0,0,0,0,1.07,1.43,0.17,0.22,1.46,0.88,0,0.52,0.2,0,0.75,0.35,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
9,0,0.32,0.98,1,0,0,0,0,0.96,1.46,0.23,0.07,1.34,0.64,0,0.5,0,0,0.61,0.55,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
10,0,0.36,0.98,1,0.01,0,0,0,1.02,1.39,0.31,0.18,1.32,0.51,0.03,0.35,0,0,0.71,0.73,0.29,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
11,0,0.4,0.93,1,0.01,0,0.14,0,1.12,1.41,0.41,0.52,1.41,0.52,0.17,0.18,0,0,0.94,0.78,0.79,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
12,0,0.44,0.93,1,0.01,0,0.34,0,1.23,1.35,0.47,0.86,1.58,0.77,0.33,0.03,0,0,1.44,0.9,1.31,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1
13,0,0.48,0.93,1,0,0,0.43,0,1.26,1.24,0.35,1.01,1.73,0.91,0.37,0,0,0,1.98,0.99,1.53,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1
